           G1           G12           G32           G24           G22           G14           G11            G4           G18           G31           G17            G3           G25           G26           G29 
 24369770.451  22817522.238   23224664.49  24664644.478  22015273.136  21252035.007             0             0             0             0             0             0             0             0             0 
 24388083.985  22835895.503  23242594.613  24683690.851  22034082.373   21270386.73             0             0             0             0             0             0             0             0             0 
 24406398.374  22854269.612  23260525.976  24702737.991  22052880.673  21288739.266             0             0             0             0             0             0             0             0             0 
 24424712.213  22872643.201  23278451.705  24721784.485  22071679.354  21307091.182             0             0             0             0             0             0             0             0             0 
 24443026.731  22891017.465  23296374.043  24740831.558   22090477.35  21325443.762  25425227.355             0             0             0             0             0             0             0             0 
 24461340.793   22909391.31  23314297.868  24759878.077  22109273.294  21343795.792  25443930.325             0             0             0             0             0             0             0             0 
 24479655.589  22927765.883  23332227.075  24778925.213   22128069.51  21362148.456             0             0             0             0             0             0             0             0             0 
 24497969.839   22946139.96  23350144.251  24797971.724  22146865.331  21380500.504  25481332.777             0             0             0             0             0             0             0             0 
 24516284.862  22964514.812  23368066.971  24817018.911  22165662.678   21398853.23  25500018.402             0             0             0             0             0             0             0             0 
 24534599.389  22982889.193  23385987.331  24836065.504   22184459.58  21417205.419  25518709.809             0             0             0             0             0             0             0             0 
 24552914.773  23001264.434  23403908.075  24855112.845  22203257.345  21435558.403             0             0             0             0             0             0             0             0             0 
 24571229.653  23019639.218   23421828.56   24874159.61  22222055.588  21453910.863             0             0             0             0             0             0             0             0             0 
 24589545.253  23038014.714  23439749.158  24893206.975  22240855.165  21472263.961             0             0             0             0             0             0             0             0             0 
 24607860.447  23056389.837  23457669.818  24912253.863   22259654.07  21490616.531             0             0             0             0             0             0             0             0             0 
  24626176.39  23074765.707  23475590.879  24931301.388  22278453.249  21508969.909             0             0             0             0             0             0             0             0             0 
 24644491.868  23093141.137  23493511.218  24950348.366  22297251.986  21527322.657  25630962.691             0             0             0             0             0             0             0             0 
 24662808.069  23111517.276  23511432.288  24969395.957  22316051.449  21545662.407  25649659.297             0             0             0             0             0             0             0             0 
 24681123.664  23129892.813  23529352.794  24988442.849  22334850.136  21564023.832             0             0             0             0             0             0             0             0             0 
 24699440.072  23148269.175  23547274.052  25007490.444  22353649.451  21582372.331             0             0             0             0             0             0             0             0             0 
 24717756.002  23166645.091  23565194.789  25026537.461  22372448.322  21600718.958             0             0             0             0             0             0             0             0             0 
 24736072.605   23185021.71  23583116.122  25045585.062  22391240.661  21619077.318             0   24341285.16             0             0             0             0             0             0             0 
 24754388.786  23203397.946  23601036.981  25064632.147  22410029.494   21637437.96   25739459.27             0             0             0             0             0             0             0             0 
 24772705.792  23221775.037  23618958.673  25083679.942  22428835.602  21655798.308             0             0             0             0             0             0             0             0             0 
 24791022.324  23240151.679  23636879.913  25102727.179   22447640.68  21674148.082  25785384.213             0             0             0             0             0             0             0             0 
 24809339.596  23258529.083  23654801.865   25121775.04  22466458.419  21692506.018             0             0             0             0             0             0             0             0             0 
 24827656.432  23276906.064  23672723.291  25140822.384  22485274.193  21710864.769  25818159.415             0             0             0             0             0             0             0             0 
 24845973.977  23295283.752   23690645.42  25159870.312  22504073.952  21729214.858  25836840.361             0             0             0             0             0             0             0             0 
 24864291.056  23313660.989  23708567.043  25178917.678  22522877.868  21747566.304  25855545.323             0             0             0             0             0             0             0             0 
 24882608.858  23332038.969  23726489.339  25197965.695  22541685.764  21765919.006             0             0             0             0             0             0             0             0             0 
 24900926.084  23350416.403  23744411.092  25217013.021  22560486.918  21784264.095             0             0             0             0             0             0             0             0             0 
 24919244.157   23368794.68  23762333.644  25236061.076   22579282.19  21802615.963             0             0             0             0             0             0             0             0             0 
 24937561.671  23387172.403  23780255.558  25255108.488  22598089.892  21820963.863  25930351.221             0             0             0             0             0             0             0             0 
