           G1           G28           R22           G19           R12            G7            G3            G6            R6           R24            R5           G26           G11           G16           R13           R14            G8           R23           G15           G22           G17            R7           R15           R17            R8           G32           G20            G9            R1           R16            G4           R18            R2           G12            G2            R9           G10           G23           G25           R19           R10           G13            G5            R4           G31           R11           G29           R20           G30           G21           R21           G18           G14 
 23483105.869  23170762.698  20380056.345  20717159.491  21165746.863  20472799.066  22487228.402  24179814.092  23691902.768  22573320.709  23408856.298  23104648.593  21641214.343  25113795.132  19127291.559  21334042.507  20522113.288   19336735.84             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23462578.124  23155475.367  20396652.365  20726721.498   21186127.96  20480703.649  22506939.325  24199250.689  23680054.047  22550204.817  23414957.546  23100115.062  21625828.302  25132724.639  19126922.909  21313715.874  20514950.208  19329354.872             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23442084.202  23140207.559  20413330.904  20736370.886  21206585.695  20488717.335  22526687.127  24218701.512  23668326.234   22527136.03  23421197.715   23095705.96  21610523.259  25151661.809  19126689.395  21293448.886  20507894.476  19322102.197             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23421620.932  23124961.701  20430093.591  20746109.269  21227120.575  20496839.146  22546471.917  24238164.789  23656711.609  22504111.682   23427579.83  23091432.169  21595304.119  25170605.157  19126590.507  21273243.094  20500946.058  19314977.878             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
  23401190.31   23109737.62  20446938.435   20755934.66  21247731.099  20505068.767  22566295.241  24257641.537  23645217.556  22481133.902  23434091.879  23087285.049  21580168.349  25189555.802  19126627.042  21253098.345  20494105.167  19307981.692             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23380793.532  23094534.226  20463867.028  20765847.397  21268417.994  20513405.761  22586152.001  24277138.071  23633844.796   22458204.72  23440746.524  23083269.391  21565115.763  25208510.549   19126799.19  21233014.664   20487372.64   19301113.69             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23360431.902  23079352.943  20480874.622  20775847.098  21289181.627  20521850.937  22606044.594  24296646.498  23622589.026  22435319.048  23447536.281  23079381.786  21550148.127   25227471.52  19127107.671  21212992.487  20480747.616  19294374.067             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23340101.904  23064193.405  20497963.966  20785933.153  21310019.458  20530404.293  22625971.948  24316166.311  23611458.706  22412485.175  23454463.305  23075626.493  21535267.201  25246437.581  19127551.672  21193033.811  20474231.678  19287763.047             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23319806.764  23049055.149   20515133.29  20796106.043  21330932.242    20539063.8  22645933.254  24335703.403  23600447.072  22389697.725  23461527.551  23071999.171  21520471.149  25265408.145  19128131.687  21173137.159  20467824.862  19281280.348             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23299550.177  23033939.735  20532381.832  20806363.724  21351918.738  20547831.578  22665931.494  24355251.242  23589553.496    22366960.8  23468725.709  23068502.169  21505761.183  25284385.779   19128847.61  21153307.281  20461527.356  19274926.097             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
